x,y,filename
3.5009296,60.114697,"mp-1214742_[0, 0, 1].png"
19.43411,23.473885,"mp-753715_[0, 0, 1].png"
19.621498,28.346603,"mp-1378759_[0, 0, 1].png"
-22.222649,34.030704,"mp-755505_[0, 0, 1].png"
-18.98906,10.014732,"mp-752975_[0, 0, 1].png"
33.627407,-26.259863,"mp-1020714_[0, 0, 1].png"
-51.610397,24.099596,"mp-980420_[0, 0, 1].png"
-16.918043,-11.189325,"mp-5802_[0, 0, 1].png"
16.658993,-29.020973,"mp-697910_[0, 0, 1].png"
9.456739,-24.811138,"mp-27230_[0, 0, 1].png"
-30.444271,20.057673,"mp-2713978_[0, 0, 1].png"
-7.506659,4.433774,"mp-641539_[0, 0, 1].png"
-17.849121,-43.171623,"mp-18685_[0, 0, 1].png"
52.14384,17.765593,"mp-8630_[0, 0, 1].png"
-44.74273,-17.717333,"mp-1030826_[0, 0, 1].png"
-36.889412,31.085003,"mp-550314_[0, 0, 1].png"
-12.997127,20.958605,"mp-22565_[0, 0, 1].png"
15.044313,-0.92491436,"mp-549720_[0, 0, 1].png"
15.462608,-14.444402,"mp-555867_[0, 0, 1].png"
-8.915263,-36.82275,"mp-10069_[0, 0, 1].png"
-10.232268,3.7925284,"mp-2715055_[0, 0, 1].png"
0.07096321,36.1722,"mp-755190_[0, 0, 1].png"
-41.78974,15.114191,"mp-1198202_[0, 0, 1].png"
2.6472847,-64.387024,"mp-755680_[0, 0, 1].png"
-0.16004047,41.37194,"mp-770632_[0, 0, 1].png"
-11.019169,-36.942867,"mp-6383_[0, 0, 1].png"
-55.905758,-10.908311,"mp-18786_[0, 0, 1].png"
42.061718,31.438751,"mp-21268_[0, 0, 1].png"
-18.3325,49.04834,"mp-2715652_[0, 0, 1].png"
37.76636,-10.939232,"mp-36381_[0, 0, 1].png"
-0.7943435,-53.169544,"mp-5967_[0, 0, 1].png"
44.81799,-3.8802354,"mp-1205298_[0, 0, 1].png"
-11.859233,5.624582,"mp-2712835_[0, 0, 1].png"
-0.9729057,-56.17325,"mp-1206782_[0, 0, 1].png"
-60.072247,-3.4538653,"mp-568177_[0, 0, 1].png"
-44.29745,17.901176,"mp-556049_[0, 0, 1].png"
0.72593457,18.156267,"mp-23280_[0, 0, 1].png"
4.4789376,-38.436386,"mp-510620_[0, 0, 1].png"
-30.135504,-44.222366,"mp-1029938_[0, 0, 1].png"
44.975914,-34.258125,"mp-1074433_[0, 0, 1].png"
1.5595644,55.544426,"mp-3762_[0, 0, 1].png"
6.143264,-38.223846,"mp-773906_[0, 0, 1].png"
3.4505067,18.679903,"mp-757260_[0, 0, 1].png"
2.919424,-40.066853,"mp-6442_[0, 0, 1].png"
36.325367,6.3824577,"mp-1220593_[0, 0, 1].png"
-21.005213,7.3342233,"mp-1216812_[0, 0, 1].png"
-2.7472937,-7.4492154,"mp-1074429_[0, 0, 1].png"
-30.017487,-37.968212,"mp-1244933_[0, 0, 1].png"
11.439224,35.49634,"mp-972825_[0, 0, 1].png"
20.072472,10.1293125,"mp-2713976_[0, 0, 1].png"
15.016317,-37.149498,"mp-757406_[0, 0, 1].png"
-50.21078,25.86788,"mp-16787_[0, 0, 1].png"
18.519478,-43.65173,"mp-1020147_[0, 0, 1].png"
-11.4375725,3.7158492,"mp-866289_[0, 0, 1].png"
-36.60971,-45.223614,"mp-10430_[0, 0, 1].png"
33.737988,5.3758593,"mp-2715075_[0, 0, 1].png"
-9.667497,-29.692778,"mp-1219347_[0, 0, 1].png"
-39.9298,3.7043154,"mp-1187525_[0, 0, 1].png"
-23.025824,5.5356545,"mp-1213869_[0, 0, 1].png"
-35.586357,14.604819,"mp-18594_[0, 0, 1].png"
41.855404,-32.93,"mp-1030841_[0, 0, 1].png"
28.819586,13.894544,"mp-2713905_[0, 0, 1].png"
1.990856,-38.36848,"mp-2716376_[0, 0, 1].png"
-34.599922,-45.80526,"mp-1103513_[0, 0, 1].png"
14.071535,-9.562085,"mp-757889_[0, 0, 1].png"
-35.07333,31.038464,"mp-979137_[0, 0, 1].png"
58.571354,0.09056826,"mp-14416_[0, 0, 1].png"
22.67974,28.43932,"mp-1074830_[0, 0, 1].png"
-32.224953,-37.91,"mp-2716146_[0, 0, 1].png"
-60.061695,-7.3879423,"mp-1029408_[0, 0, 1].png"
-17.092182,32.862377,"mp-1097230_[0, 0, 1].png"
43.432465,-32.759964,"mp-767556_[0, 0, 1].png"
41.71184,-1.1733192,"mp-758053_[0, 0, 1].png"
-34.65981,-5.9297924,"mp-650601_[0, 0, 1].png"
35.428238,-25.899466,"mp-1287_[0, 0, 1].png"
13.003642,24.946526,"mp-16809_[0, 0, 1].png"
-50.5393,-19.77527,"mp-1226125_[0, 0, 1].png"
1.1938211,-35.00284,"mp-2714238_[0, 0, 1].png"
17.827831,44.472767,"mp-505629_[0, 0, 1].png"
41.54171,-21.486307,"mp-1200205_[0, 0, 1].png"
34.70439,11.868325,"mp-2716486_[0, 0, 1].png"
-16.71813,-47.993916,"mp-642999_[0, 0, 1].png"
-5.6964517,37.875942,"mp-9212_[0, 0, 1].png"
40.257027,23.246326,"mp-1227202_[0, 0, 1].png"
31.765348,1.8281057,"mp-1223674_[0, 0, 1].png"
1.7034451,-21.117771,"mp-677497_[0, 0, 1].png"
-16.117895,7.601071,"mp-1213447_[0, 0, 1].png"
-23.731571,-26.308027,"mp-1034675_[0, 0, 1].png"
14.393124,-9.43417,"mp-2714296_[0, 0, 1].png"
-24.468788,-33.739197,"mp-1105064_[0, 0, 1].png"
-34.403843,-26.049982,"mp-983479_[0, 0, 1].png"
-31.426506,17.428377,"mp-758277_[0, 0, 1].png"
-27.78026,35.2898,"mp-1047387_[0, 0, 1].png"
26.47523,-4.611874,"mp-18440_[0, 0, 1].png"
-40.217,26.142717,"mp-726359_[0, 0, 1].png"
-45.033245,22.20411,"mp-2715943_[0, 0, 1].png"
-22.331444,-17.19973,"mp-2714174_[0, 0, 1].png"
36.23559,26.480686,"mp-978524_[0, 0, 1].png"
4.254272,-50.517567,"mp-2714383_[0, 0, 1].png"
-14.220793,6.8515477,"mp-752893_[0, 0, 1].png"
-7.21327,14.068402,"mp-2716274_[0, 0, 1].png"
-42.61337,24.270765,"mp-1105550_[0, 0, 1].png"
-35.6523,-40.35417,"mp-1094056_[0, 0, 1].png"
-16.76765,-49.53552,"mp-40189_[0, 0, 1].png"
9.980039,-50.196438,"mp-557679_[0, 0, 1].png"
-39.209156,-5.2225685,"mp-14046_[0, 0, 1].png"
-43.43426,21.458523,"mp-771568_[0, 0, 1].png"
58.324684,1.9510672,"mp-1268159_[0, 0, 1].png"
-35.574833,20.020283,"mp-1235848_[0, 0, 1].png"
-6.358547,17.013659,"mp-1026719_[0, 0, 1].png"
16.517622,-34.010475,"mp-6224_[0, 0, 1].png"
15.161202,19.74497,"mp-557690_[0, 0, 1].png"
-17.040905,-48.104195,"mp-23844_[0, 0, 1].png"
32.871605,9.190728,"mp-1154656_[0, 0, 1].png"
-3.0459435,17.599945,"mp-694935_[0, 0, 1].png"
36.35674,-31.807163,"mp-626620_[0, 0, 1].png"
24.355305,8.533034,"mp-18274_[0, 0, 1].png"
7.0972996,49.329147,"mp-2715764_[0, 0, 1].png"
